Índice,Nome,Fruta,Descrição,Coordenada 1,Coordenada 2
1,Abricó-de-macaco,Abricó-de-Macaco,Entre o B8 e B10,-20.802.401.952.582.500,-4.115.432.339.492.620
2,Aceroleira,Acerola,Ao lado do estacionamento da biblioteca,-2.080.364.458.191.700,-41.154.695.944.842.000
3,Bananeira,Bananana, Atrás do B0,-20.803.679.196.287.300,-41.154.667.682.607.800
4,Cajazeira,Cajá,De frente para o pátio,-20.802.789.877.747.200,-4.115.564.831.766.860
5,Caramboleira,Carambola,Entrada da escola,-20.802.574.980.960.900,-41.155.584.021.025.900
6,Goiabeira,Goiaba,Atrás do B0 e B1,-20.803.659.565.957.700,-41.154.624.966.532.200
7,Goiabeira,Goiaba,Rua do estacionamento da quadra,-20.802.416.965.915.300,-41.153.871.511.576.600
8,Goiabeira,Goiaba (x3),Rua do estacionamento da quadra,-2.080.252.543.889.390,-41.153.942.823.180.300
9,Ingazeiro,Ingá ,Rua do estacionamento da quadra,-20.803.004.251.077.800,-41.154.254.779.597.400
10,Jabuticabeira,Jabuticaba,Rua do estacionamento da quadra,"-20.802.415.115.197.300,00",-41.153.854.310.288.600
11,Jambeiro,Jambo ,Entre o B5 e B7,-2.080.272.348.755.130,-4.115.436.286.548.150
12,Jatobazeiro,Jatobá,Entre o B6 e B8,-20.802.746.680.210.800,-4.115.459.517.784.070
13,Jenipapeiro,Jenipapo,Entrada - Pátio,-20.802.839.520.758.600,-41.155.685.301.535.800
14,Laranjeira,Laranja,Rua do estacionamento da quadra,-2.080.297.008.278.420,-4.115.409.877.784.280
15,Licurizeiro,Coquinho ,"Atrás do B8, B6 e B4",-20.802.592.262.033.300,-4.115.476.046.642.460
16,Licurizeiro,Coquinho ,Ao lado do corredor do B1,-20.803.071.377.076.600,-41.154.859.066.664.500
17,Limoeiro,Limão,Rua do estacionamento da quadra,-2.080.257.934.703.310,-4.115.399.110.293.650
18,Mamoeiro,Mamão,Atrás do B0,-20.803.660.391.253.600,-4.115.478.167.648.040
19,Mangueira,Manga ,Entrada - Pátio,-20.802.499.997.651.700,-4.115.566.538.715.070
20,Mangueira,Manga ,Lado direito B3,-20.803.221.763.353.200,-4.115.435.670.354.110
21,Mangueira,Manga (x3),Atrás do B4,-20.802.612.795.262.500,-4.115.481.621.292.170
22,Mexeriqueira,Mexirica,Ao lado do estacionamento da biblioteca,-2.080.362.515.004.910,-41.155.090.900.121.400
23,Mexeriqueira,Mexirica,Atrás do B0,-20.803.002.997.405.100,-4.115.424.807.407.970
24,Mungubeira,Munguba,Estacionamento do pátio,-2.080.339.134.063.790,-4.115.532.760.505.760
25,Palmeira,Palmeiras,De frente para o pátio,-20.802.966.287.681.000,-41.155.672.973.573.100
26,Pitangueira,Pitanga,Rua do estacionamento da quadra,-2.080.280.534.064.090,-41.154.120.308.333.100